Survived,Pclass,Name,Sex,Ticket,Embarked,Cabin
0,3,"Braund, Mr. Owen Harris",male,A/5 21171,S,
1,1,"Cumings, Mrs. John Bradley (Florence Briggs Thayer)",female,PC 17599,C,C85
1,3,"Heikkinen, Miss. Laina",female,STON/O2. 3101282,S,
1,1,"Futrelle, Mrs. Jacques Heath (Lily May Peel)",female,113803,S,C123
0,3,"Allen, Mr. William Henry",male,373450,S,
0,3,"Moran, Mr. James",male,330877,Q,
0,1,"McCarthy, Mr. Timothy J",male,17463,S,E46
0,3,"Palsson, Master. Gosta Leonard",male,349909,S,
1,3,"Johnson, Mrs. Oscar W (Elisabeth Vilhelmina Berg)",female,347742,S,
1,2,"Nasser, Mrs. Nicholas (Adele Achem)",female,237736,C,
1,3,"Sandstrom, Miss. Marguerite Rut",female,PP 9549,S,G6
1,1,"Bonnell, Miss. Elizabeth",female,113783,S,C103
0,3,"Saundercock, Mr. William Henry",male,A/5. 2151,S,
0,3,"Andersson, Mr. Anders Johan",male,347082,S,
0,3,"Vestrom, Miss. Hulda Amanda Adolfina",female,350406,S,
1,2,"Hewlett, Mrs. (Mary D Kingcome) ",female,248706,S,
0,3,"Rice, Master. Eugene",male,382652,Q,
1,2,"Williams, Mr. Charles Eugene",male,244373,S,
0,3,"Vander Planke, Mrs. Julius (Emelia Maria Vandemoortele)",female,345763,S,
1,3,"Masselmani, Mrs. Fatima",female,2649,C,
0,2,"Fynney, Mr. Joseph J",male,239865,S,
1,2,"Beesley, Mr. Lawrence",male,248698,S,D56
1,3,"McGowan, Miss. Anna ""Annie""",female,330923,Q,
1,1,"Sloper, Mr. William Thompson",male,113788,S,A6
0,3,"Palsson, Miss. Torborg Danira",female,349909,S,
1,3,"Asplund, Mrs. Carl Oscar (Selma Augusta Emilia Johansson)",female,347077,S,
0,3,"Emir, Mr. Farred Chehab",male,2631,C,
0,1,"Fortune, Mr. Charles Alexander",male,19950,S,C23 C25 C27
